"('class', 'dependency', 'method')",T
"('class', 'dependency', 'interface')",T
"('class', 'dependency', 'namespace')",F
"('method', 'dependency', 'class')",T
"('method', 'dependency', 'method')",T
"('method', 'dependency', 'interface')",T
"('method', 'dependency', 'namespace')",F
"('interface', 'dependency', 'class')",F
"('namespace', 'dependency', 'method')",F
"('class', 'similarity', 'class')",T
"('method', 'similarity', 'method')",T
"('struct', 'similarity', 'struct')",T
"('namespace', 'similarity', 'namespace')",T
"('class', 'difference', 'class')",T
"('method', 'difference', 'method')",T
"('struct', 'difference', 'struct')",T
"('namespace', 'difference', 'namespace')",T
"('class', 'implementation', 'method')",F
"('class', 'implementation', 'interface')",T
"('method', 'implementation', 'class')",F
"('namespace', 'implementation', 'method')",F
"('class', 'containment', 'class')",T
"('class', 'containment', 'namespace')",F
"('namespace', 'containment', 'class')",T
"('namespace', 'containment', 'method')",F
"('method', 'preference', 'method')",T
"('namespace', 'preference', 'namespace')",T
"('class', 'collaboration', 'class')",T
"('class', 'collaboration', 'namespace')",T
"('method', 'collaboration', 'method')",T
"('namespace', 'collaboration', 'namespace')",F
"('class', 'limitation', 'namespace')",F
"('method', 'limitation', 'class')",T
"('method', 'limitation', 'namespace')",T
"('namespace', 'limitation', 'class')",T
"('namespace', 'limitation', 'method')",T
"('namespace', 'limitation', 'namespace')",F
"('method', 'creation', 'class')",T
"('namespace', 'creation', 'class')",F
"('class', 'replacement', 'class')",T
"('class', 'reference', 'method')",T
"('class', 'reference', 'namespace')",T
"('method', 'reference', 'class')",T
