"('type', 'dependency', 'package')",T
"('type', 'dependency', 'method')",F
"('type', 'dependency', 'func')",F
"('var', 'dependency', 'type')",T
"('var', 'dependency', 'var')",T
"('var', 'dependency', 'func')",F
"('package', 'dependency', 'type')",F
"('package', 'dependency', 'package')",T
"('package', 'dependency', 'func')",F
"('method', 'dependency', 'type')",T
"('method', 'dependency', 'method')",T
"('func', 'dependency', 'type')",T
"('func', 'dependency', 'var')",T
"('func', 'dependency', 'package')",T
"('func', 'dependency', 'method')",T
"('func', 'dependency', 'func')",T
"('type', 'collaboration', 'func')",T
"('method', 'collaboration', 'method')",T
"('func', 'collaboration', 'type')",T
"('func', 'collaboration', 'func')",T
"('type', 'containment', 'type')",T
"('type', 'containment', 'var')",T
"('type', 'containment', 'package')",F
"('type', 'containment', 'method')",T
"('const', 'containment', 'const')",F
"('package', 'containment', 'type')",T
"('package', 'containment', 'package')",F
"('package', 'containment', 'func')",T
"('func', 'containment', 'package')",F
"('type', 'limitation', 'type')",F
"('type', 'limitation', 'const')",F
"('type', 'limitation', 'var')",F
"('type', 'limitation', 'method')",F
"('type', 'limitation', 'func')",F
"('const', 'limitation', 'type')",F
"('var', 'limitation', 'type')",F
"('var', 'limitation', 'var')",F
"('package', 'limitation', 'type')",T
"('method', 'limitation', 'type')",F
"('func', 'limitation', 'type')",T
"('func', 'limitation', 'var')",F
"('type', 'difference', 'type')",T
"('package', 'difference', 'package')",T
"('method', 'difference', 'method')",T
"('func', 'difference', 'func')",T
"('type', 'replacement', 'type')",T
"('package', 'replacement', 'package')",T
"('method', 'replacement', 'method')",T
"('func', 'replacement', 'func')",T
"('type', 'equivalence', 'type')",T
"('package', 'equivalence', 'package')",F
"('method', 'equivalence', 'method')",T
"('func', 'equivalence', 'func')",T
"('type', 'satisfaction', 'type')",T
"('type', 'embedding', 'type')",T
