"('class', 'dependency', 'property')",F
"('class', 'dependency', 'function')",F
"('package', 'dependency', 'function')",F
"('function', 'dependency', 'class')",T
"('function', 'dependency', 'property')",T
"('function', 'dependency', 'function')",T
"('class', 'conversion', 'class')",T
"('function', 'conversion', 'class')",F
"('function', 'preference', 'function')",T
"('class', 'collaboration', 'class')",T
"('class', 'collaboration', 'function')",T
"('package', 'collaboration', 'package')",F
"('function', 'collaboration', 'function')",T
"('class', 'implementation', 'function')",F
"('class', 'containment', 'property')",T
"('class', 'containment', 'function')",T
"('property', 'containment', 'class')",F
"('property', 'containment', 'property')",F
"('package', 'containment', 'class')",T
"('class', 'limitation', 'property')",F
"('property', 'limitation', 'class')",F
"('property', 'limitation', 'property')",F
"('package', 'limitation', 'package')",F
"('function', 'limitation', 'class')",F
"('class', 'difference', 'class')",T
"('property', 'difference', 'property')",T
"('function', 'difference', 'function')",T
"('package', 'replacement', 'package')",T
"('function', 'replacement', 'function')",T
"('class', 'modification', 'property')",F
"('class', 'equivalence', 'class')",T
"('function', 'equivalence', 'function')",T
"('function', 'extension', 'function')",T
"('class', 'delegation', 'class')",T
