"('struct', 'implementation', 'trait')"
"('struct', 'implementation', 'method')"
"('trait', 'implementation', 'struct')"
"('trait', 'implementation', 'trait')"
"('trait', 'implementation', 'method')"
"('module', 'implementation', 'trait')"
"('module', 'implementation', 'method')"
"('method', 'implementation', 'trait')"
"('struct', 'similarity', 'struct')"
"('trait', 'similarity', 'trait')"
"('method', 'similarity', 'method')"
"('macro', 'similarity', 'macro')"
"('module', 'collaboration', 'module')"
"('method', 'collaboration', 'method')"
"('struct', 'conversion', 'struct')"
"('trait', 'conversion', 'struct')"
"('method', 'conversion', 'struct')"
"('struct', 'ownership', 'struct')"
"('struct', 'ownership', 'method')"
"('module', 'ownership', 'module')"
"('method', 'ownership', 'struct')"
"('struct', 'construction', 'struct')"
"('struct', 'construction', 'method')"
"('method', 'construction', 'struct')"
"('struct', 'dependency', 'trait')"
"('struct', 'dependency', 'method')"
"('trait', 'dependency', 'method')"
"('method', 'dependency', 'struct')"
"('method', 'dependency', 'trait')"
"('module', 'modification', 'module')"
"('struct', 'replacement', 'struct')"
"('trait', 'replacement', 'trait')"
"('module', 'replacement', 'module')"
"('enum', 'association', 'enum')"
"('trait', 'association', 'trait')"
"('module', 'association', 'module')"
"('macro', 'association', 'module')"
